cientifico,TL,DemersPelag,DepthRangeShallow,DepthRangeDeep,Length,BodyShapeI
Chilara taylori,4.1,demersal,0,280,40.4,eel-like
Chitonotus pugetensis,3.6,demersal,0,142,23,elongated
Citharichthys sordidus,3.46,demersal,0,549,41,fusiform / normal
Citharichthys stigmaeus,3.4,demersal,15,549,17,short and / or deep
Clinocottus acuticeps,3.5,demersal,0,20,6.4,elongated
Coryphaenoides acrolepis,3.8,bathydemersal,300,3700,104,elongated
Coryphaenoides cinereus,3.6,bathydemersal,150,3500,66,elongated
Cymatogaster aggregata,3,demersal,1,146,20.3,short and / or deep
Dasycottus setiger,3.87,demersal,15,850,73,fusiform / normal
Diaphus theta,3.19,bathypelagic,10,3400,11.4,fusiform / normal
Elassodiscus caudatus,3.4,bathydemersal,335,1040,8.5,elongated
Embassichthys bathybius,3.4,bathydemersal,41,1800,47,short and / or deep
Embiotoca lateralis,3.3,demersal,0,21,38,short and / or deep
Engraulis mordax,3.1,pelagic-neritic,0,310,24.8,elongated
Enophrys bison,3.3,demersal,20,20,37,fusiform / normal
Enophrys taurina,3.5,demersal,11,256,17,fusiform / normal
Eopsetta jordani,4.1,demersal,0,550,53,short and / or deep
Eptatretus deani,3.8,bathydemersal,103,2743,63.5,eel-like
Eptatretus stoutii,4.2,demersal,16,966,63.5,eel-like
Gadus macrocephalus,4.16,demersal,10,1280,119,fusiform / normal
Galeorhinus galeus,4.34,benthopelagic,0,1100,193,elongated
Gasterosteus aculeatus,3.31,benthopelagic,0,100,11,fusiform / normal
Genyonemus lineatus,3.4,benthopelagic,3,183,41,fusiform / normal
Glyptocephalus zachirus,3.25,demersal,0,900,60,short and / or deep
Hemilepidotus spinosus,3.5,demersal,0,780,29,elongated
Hexagrammos decagrammus,3.6,demersal,0,46,61,fusiform / normal
Hexanchus griseus,4.48,bathydemersal,1,2500,482,elongated
Hippoglossina stomata,4,demersal,30,137,40,fusiform / normal
Hippoglossus stenolepis,4.14,demersal,0,1200,258,fusiform / normal
Howella brodiei,3.2,bathypelagic,100,1829,7.6,fusiform / normal
Hydrolagus colliei,3.7,demersal,0,913,100,elongated
Hyperprosopon anale,3.3,demersal,0,101,20,fusiform / normal
Icelinus burchami,3.5,demersal,61,570,13,elongated
Icelinus filamentosus,3.5,demersal,18,800,27,elongated
Icelinus fimbriatus,3.7,demersal,50,265,19,fusiform / normal
Icelinus tenuis,3.6,demersal,33,373,14,elongated
Icichthys lockingtoni,3.7,pelagic-oceanic,0,900,46,short and / or deep
Icosteus aenigmaticus,4.5,bathypelagic,0,1420,213,short and / or deep
Idiacanthus antrostomus,3.8,bathypelagic,0,1103,33,elongated
Isopsetta isolepis,3.6,demersal,20,425,55,short and / or deep
Jordania zonope,3.4,demersal,2,38,15,elongated
Kathetostoma averruncus,4.3,bathydemersal,13,384,32,fusiform / normal
Lepidopsetta bilineata,3.18,demersal,0,575,58,short and / or deep
Leptoclinus maculatus,3.3,demersal,2,607,20,elongated
Leptocottus armatus,3.7,demersal,0,156,46,elongated
Lestidiops ringens,4.1,bathypelagic,0,3290,21,elongated
Leuroglossus schmidti,3.12,bathypelagic,394,1800,20,elongated
Leuroglossus stilbius,3.3,bathypelagic,100,850,15,elongated
Lycenchelys camchatica,3.3,bathydemersal,200,2100,14.5,elongated
Lycenchelys crotalinus,3.5,bathydemersal,200,2816,42.2,elongated
Lycodapus endemoscotus,3.3,bathypelagic,555,2225,12.4,elongated
Lycodapus fierasfer,3.3,bathypelagic,50,2212,15,elongated
Lycodapus mandibularis,3.3,bathypelagic,100,1370,20,eel-like
Lycodes cortezianus,3.5,bathydemersal,73,620,50,elongated
Lycodes diapterus,3.4,bathydemersal,146,844,33,eel-like
Lycodes pacificus,3.3,bathydemersal,9,399,46,elongated
Lyconema barbatum,3.3,demersal,82,373,17,elongated
Lyopsetta exilis,3.45,bathydemersal,25,800,35,short and / or deep
Macropinna microstoma,3.6,bathypelagic,16,1267,15,fusiform / normal
Malacocephalus laevis,3.8,bathydemersal,200,1000,60,elongated
Melanostigma pammelas,3.2,bathypelagic,96,699,11,eel-like
Merluccius productus,4.35,pelagic-neritic,0,1000,91,elongated
Microgadus proximus,3.6,demersal,0,275,30.5,fusiform / normal
Microstomus pacificus,3.22,demersal,10,1370,76,short and / or deep
Mola mola,3.6,pelagic-oceanic,30,480,333,short and / or deep
Mustelus californicus,3.52,demersal,0,200,116,elongated
Mustelus henlei,3.61,demersal,0,281,100,elongated
Myliobatis californica,3.24,demersal,0,108,180,other
Nansenia candida,3.3,bathypelagic,83,1800,22.2,elongated
Nautichthys oculofasciatus,4.1,demersal,1,110,20,elongated
Nectoliparis pelagicus,3.3,bathypelagic,0,3383,6.5,elongated
Nezumia liolepis,3.3,bathydemersal,768,1660,30,elongated
Nezumia stelgidolepis,4.4,bathydemersal,277,909,45,elongated
Odontopyxis trispinosa,3.2,demersal,9,373,9.5,elongated
Oncorhynchus kisutch,4.2,demersal,0,250,107.95,fusiform / normal
Oncorhynchus tshawytscha,4.4,benthopelagic,0,375,150,fusiform / normal
Ophidion scrippsae,3.5,demersal,0,110,28,elongated
Ophiodon elongatus,4.53,demersal,0,475,152,elongated
Paralichthys californicus,4.5,demersal,0,183,152,short and / or deep
Paraliparis dactylosus,3.5,bathydemersal,541,1000,8.9,elongated
Parmaturus xaniurus,3.78,bathydemersal,88,1250,45,elongated
Parophrys vetulus,3.4,demersal,0,550,49,short and / or deep
Peprilus simillimus,4,benthopelagic,9,91,28,short and / or deep
Phanerodon atripes,3.3,demersal,0,229,29,short and / or deep
Phanerodon furcatus,3.3,demersal,5,43,32,fusiform / normal
Physiculus rastrelliger,3.4,demersal,128,523,25,elongated
Platichthys stellatus,3.58,demersal,0,375,91,short and / or deep
Pleuronichthys coenosus,3.2,demersal,18,350,36,short and / or deep
Pleuronichthys decurrens,3.9,demersal,8,533,37,short and / or deep
Pleuronichthys ritteri,3.2,demersal,1,50,30,short and / or deep
Pleuronichthys verticalis,3.1,demersal,9,200,37,short and / or deep
Porichthys notatus,4,demersal,0,366,38,elongated
Poromitra crassiceps,3.1,bathypelagic,164,2730,14.8,fusiform / normal
Psettichthys melanostictus,4.1,demersal,1,325,63,short and / or deep
Radulinus asprellus,3.4,demersal,18,284,15,elongated
Rhacochilus toxotes,3.4,demersal,1,50,47,short and / or deep
Rhacochilus vacca,3.4,demersal,5,46,44.2,short and / or deep
Rhinoliparis attenuatus,3.4,bathydemersal,350,2189,11,elongated
Ronquilus jordani,3.1,demersal,3,275,20,elongated
Sagamichthys abei,3.1,bathypelagic,37,1500,33,elongated
Sardinops sagax,2.84,pelagic-neritic,0,200,39.5,fusiform / normal
Scomber japonicus,3.38,pelagic-neritic,0,300,64,fusiform / normal
Sebastes alutus,3.48,bathydemersal,0,825,53,fusiform / normal
Sebastes auriculatus,4,demersal,0,128,56,fusiform / normal
Sebastes aurora,3.7,bathydemersal,124,769,41,elongated
Sebastes babcocki,3.8,demersal,49,625,64,fusiform / normal
Sebastes brevispinis,3.8,demersal,0,375,71,fusiform / normal
Sebastes carnatus,3.6,demersal,10,55,39,fusiform / normal
Sebastes caurinus,4.06,demersal,10,183,58,fusiform / normal
Sebastes chlorostictus,3.8,demersal,49,201,50,fusiform / normal
Sebastes constellatus,3.7,reef-associated,24,274,46,fusiform / normal
Sebastes crameri,3.8,bathydemersal,25,600,58,fusiform / normal
Sebastes diploproa,3.7,bathydemersal,0,800,46,fusiform / normal
Sebastes elongatus,3.7,demersal,25,425,39,fusiform / normal
Sebastes emphaeus,3.29,reef-associated,0,366,18,fusiform / normal
Sebastes ensifer,3.6,demersal,70,433,30,fusiform / normal
Sebastes entomelas,3.7,pelagic-neritic,0,549,60,fusiform / normal
Sebastes eos,3.8,demersal,76,366,56,fusiform / normal
Sebastes flavidus,4.15,reef-associated,0,549,66,fusiform / normal
Sebastes goodei,3.5,demersal,0,425,56,fusiform / normal
Sebastes helvomaculatus,3.7,demersal,25,549,41,fusiform / normal
Sebastes hopkinsi,3.6,reef-associated,18,183,29,fusiform / normal
Sebastes jordani,3.2,demersal,0,350,32,elongated
Sebastes levis,4,bathydemersal,20,500,100,fusiform / normal
Sebastes macdonaldi,3.8,demersal,91,350,66,fusiform / normal
Sebastes maliger,3.84,demersal,0,274,61,fusiform / normal
Sebastes melanops,4.38,reef-associated,0,366,63,fusiform / normal
Sebastes melanostomus,3.8,bathydemersal,124,769,61,fusiform / normal
Sebastes mystinus,2.71,reef-associated,0,550,61,fusiform / normal
Sebastes nigrocinctus,3.52,reef-associated,10,275,61,fusiform / normal
Sebastes ovalis,3.8,demersal,80,365,56,fusiform / normal
Sebastes paucispinis,3.5,reef-associated,0,476,91,fusiform / normal
Sebastes pinniger,3.8,demersal,0,838,76,fusiform / normal
Sebastes proriger,3.8,bathydemersal,12,425,61,fusiform / normal
Sebastes rastrelliger,3.9,demersal,0,46,56,fusiform / normal
Sebastes reedi,3.9,bathydemersal,137,375,58,fusiform / normal
Sebastes rosaceus,3.7,demersal,15,128,36,fusiform / normal
Sebastes rosenblatti,3.8,demersal,61,396,48,fusiform / normal
Sebastes ruberrimus,4.43,reef-associated,15,549,104,fusiform / normal
Sebastes rubrivinctus,3.8,demersal,0,302,51,fusiform / normal
Sebastes rufus,3.8,demersal,31,247,54,fusiform / normal
Sebastes saxicola,3.7,demersal,9,547,38,fusiform / normal
Sebastes semicinctus,3.6,demersal,58,402,25,fusiform / normal
Sebastes serranoides,4.15,reef-associated,0,146,61,fusiform / normal
Sebastes wilsoni,3.6,demersal,30,274,23,fusiform / normal
Sebastes zacentrus,3.7,bathydemersal,26,476,39,fusiform / normal
Sebastolobus alascanus,3.62,demersal,17,1600,80,fusiform / normal
Sebastolobus altivelis,3.3,bathydemersal,201,1757,39,fusiform / normal
Somniosus pacificus,4.36,benthopelagic,0,2205,440,elongated
Spirinchus starksi,3.5,benthopelagic,0,128,23,elongated
Spirinchus thaleichthys,3.2,benthopelagic,5,137,20,elongated
Squalus suckleyi,4.5,benthopelagic,15,1244,140,fusiform / normal
Squatina californica,4.14,demersal,3,205,152,other
Stenobrachius leucopsarus,3.1,bathypelagic,31,3400,13,fusiform / normal
Sternoptyx diaphana,3.44,bathypelagic,400,3676,5.5,short and / or deep
Stomias atriventer,4,bathypelagic,100,1500,25,elongated
Symbolophorus californiensis,3.1,pelagic-oceanic,557,1497,11,elongated
Synodus lucioceps,4.5,reef-associated,1,229,64,elongated
Tactostoma macropus,4.2,bathypelagic,30,2000,34.3,eel-like
Talismania bifurcata,3.4,bathydemersal,300,2000,27.7,elongated
Tarletonbeania crenularis,3.1,bathypelagic,0,710,12.7,fusiform / normal
Tetragonurus cuvieri,3.8,bathypelagic,1,800,70,elongated
Thaleichthys pacificus,3.3,pelagic-neritic,0,300,34,elongated
Trachipterus altivelis,3.9,pelagic-oceanic,0,900,183,eel-like
Trachurus symmetricus,3.57,pelagic-oceanic,0,400,81,fusiform / normal
Xeneretmus latifrons,3.2,bathydemersal,18,400,19,elongated
Xystreurys liolepis,3.5,demersal,5,79,63.5,short and / or deep
Zalembius rosaceus,3.3,demersal,8,229,20,short and / or deep
Zaniolepis frenata,3.4,demersal,4,450,25,elongated
Zaniolepis latipinnis,3.13,demersal,37,201,30,elongated
