year,common,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
2003,Escolar,0,0,0,863,0,0,"1,987",416,"1,196"
2003,EMPTY,$0 ,$0 ,$0 ,"$1,208 ",$0 ,$0 ,"$2,429 ",$250 ,"$1,375 "
2003,"Fish, unspecified",122,3,0,191,0,0,60,0,0
2003,EMPTY,$233 ,$0 ,$0 ,$395 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Flounder, arrowtooth","83,664","2,321","1,135",925,"7,663",0,0,0,0
2003,EMPTY,"$10,920 ",$302 ,$148 ,$463 ,"$2,682 ",$0 ,$0 ,$0 ,$0 
2003,"Flounder, starry","4,592",0,"3,015","45,881","9,770",184,5,0,0
2003,EMPTY,"$2,056 ",$0 ,"$1,463 ","$23,390 ","$12,234 ",$332 ,$15 ,$0 ,$0 
2003,"Flounder, unspecified",0,2,"1,114",203,470,83,0,5,0
2003,EMPTY,$0 ,$3 ,$477 ,$104 ,$42 ,$112 ,$0 ,$1 ,$0 
2003,Flyingfish,0,0,0,11,0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Goby, yellowfin",0,0,0,493,0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,"$1,368 ",$0 ,$0 ,$0 ,$0 ,$0 
2003,"Greenling, kelp","2,937","3,255",130,81,716,"3,772",21,18,0
2003,EMPTY,"$14,722 ","$14,415 ",$610 ,$471 ,"$3,884 ","$24,401 ",$156 ,$27 ,$0 
2003,Grenadier,"73,773","39,418","1,893","18,943","225,411","4,717",0,14,80
2003,EMPTY,"$11,399 ","$5,913 ",$284 ,"$2,852 ","$49,000 ",$818 ,$0 ,$2 ,$60 
2003,"Guitarfish, shovelnose",0,0,0,0,0,6,"7,794","11,351",150
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$6 ,"$5,211 ","$4,357 ",$8 
2003,Halfmoon,0,0,0,0,0,0,8,721,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$18 ,"$1,547 ",$0 
2003,"Halibut, California",880,878,"25,287","401,319","52,313","10,514","217,815","95,106","19,046"
2003,EMPTY,"$2,802 ","$1,336 ","$67,510 ","$1,033,568 ","$133,185 ","$29,384 ","$765,503 ","$398,795 ","$69,571 "
2003,"Herring, Pacific - roe on kelp",0,0,0,"132,410",0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,"$449,193 ",$0 ,$0 ,$0 ,$0 ,$0 
2003,"Herring, Pacific - roe","3,634",0,"179,736","3,802,826",0,0,0,0,0
2003,EMPTY,"$1,163 ",$0 ,"$56,010 ","$920,662 ",$0 ,$0 ,$0 ,$0 ,$0 
2003,"Herring, Pacific",0,0,0,0,"75,292",0,3,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,"$3,061 ",$0 ,$0 ,$0 ,$0 
2003,Jacksmelt,0,0,0,"3,273","8,251",0,0,"9,395",0
2003,EMPTY,$0 ,$0 ,$0 ,"$3,072 ","$3,068 ",$0 ,$0 ,"$2,243 ",$0 
2003,"Kelpfish, giant",0,0,0,0,0,0,0,600,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$240 ,$0 
2003,Lingcod,"35,344","9,965","5,914","20,014","16,792","20,714","4,450",613,"1,581"
2003,EMPTY,"$55,278 ","$13,431 ","$8,225 ","$32,323 ","$21,855 ","$35,218 ","$9,265 ","$1,096 ","$4,302 "
2003,"Lizardfish, California",0,0,0,0,0,0,427,899,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$548 ,$416 ,$0 
2003,Louvar,0,0,13,0,206,194,563,"1,493","6,884"
2003,EMPTY,$0 ,$0 ,$13 ,$0 ,$462 ,$696 ,"$2,320 ","$4,886 ","$33,266 "
2003,"Mackerel, Pacific",0,0,0,83,"2,224",21,"87,696","8,724,804","1,946"
2003,EMPTY,$0 ,$0 ,$0 ,$144 ,"$4,217 ",$16 ,"$4,322 ","$622,837 ",$972 
2003,"Mackerel, jack",0,28,22,0,"43,546",34,25,"294,172","5,470"
2003,EMPTY,$0 ,$14 ,$0 ,$0 ,"$2,464 ",$17 ,$10 ,"$49,360 ","$3,195 "
2003,"Midshipman, plainfin",0,0,0,3,0,0,15,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Mudsucker, longjaw",0,0,0,12,0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$53 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Mullet, striped",0,0,0,0,0,0,0,90,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$135 ,$0 
2003,Opah,0,59,0,687,580,"1,783","7,298","13,587","49,719"
2003,EMPTY,$0 ,$118 ,$0 ,$943 ,$312 ,$865 ,"$3,896 ","$6,379 ","$29,374 "
2003,Opaleye,26,858,0,0,0,0,11,"1,514",0
2003,EMPTY,$10 ,$386 ,$0 ,$0 ,$0 ,$0 ,$20 ,"$5,171 ",$0 
2003,"Pomfret, Pacific",0,0,0,0,0,0,196,0,286
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$49 ,$0 ,$286 
2003,Queenfish,0,0,0,0,0,0,0,14,"6,128"
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,225 "
2003,"Ray, Pacific electric",0,0,0,0,0,0,400,5,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$945 ,$45 ,$0 
2003,"Ray, bat",185,0,0,0,0,0,16,"1,198",250
2003,EMPTY,$93 ,$0 ,$0 ,$0 ,$0 ,$0 ,$4 ,$362 ,$13 
2003,"Ray, unspecified",0,0,0,0,0,0,0,0,31
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$23 
2003,"Rockfish, China","1,284","1,457",274,256,93,67,0,0,5
2003,EMPTY,"$8,399 ","$10,096 ","$1,377 ","$1,725 ",$556 ,$435 ,$0 ,$0 ,$24 
2003,"Rockfish, Mexican",0,0,0,0,0,0,0,4,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$12 ,$0 
2003,"Rockfish, aurora",0,49,0,0,184,"1,984",173,"1,014",0
2003,EMPTY,$0 ,$22 ,$0 ,$0 ,$78 ,$540 ,$197 ,"$2,526 ",$0 
2003,"Rockfish, bank",0,"1,368",0,"30,135","14,308","112,418",0,40,"1,331"
2003,EMPTY,$0 ,$609 ,$0 ,"$15,249 ","$6,437 ","$71,636 ",$0 ,$86 ,$666 
2003,"Rockfish, black-and-yellow","1,763","3,109",863,944,"2,369","7,399",126,0,0
2003,EMPTY,"$4,706 ","$17,795 ","$4,079 ","$4,266 ","$13,187 ","$37,211 ",$676 ,$0 ,$0 
2003,"Rockfish, black","121,791",984,516,"3,019",693,148,543,5,0
2003,EMPTY,"$244,042 ","$1,138 ",$789 ,"$6,837 ","$1,872 ",$203 ,"$1,207 ",$10 ,$0 
2003,"Rockfish, blackgill","2,406","5,078",410,"15,269","95,744","144,583","55,540","36,791","39,438"
2003,EMPTY,"$1,469 ","$2,351 ",$299 ,"$17,954 ","$91,260 ","$116,137 ","$57,983 ","$63,550 ","$57,948 "
2003,"Rockfish, blue","8,969","1,076",35,552,"3,251","2,727",367,26,0
2003,EMPTY,"$13,483 ","$1,377 ",$47 ,"$1,890 ","$3,892 ","$3,786 ",$814 ,$59 ,$0 
2003,"Rockfish, bocaccio",133,44,0,6,247,46,830,62,0
2003,EMPTY,$80 ,$29 ,$0 ,$0 ,$198 ,$26 ,"$1,011 ",$51 ,$0 
2003,"Rockfish, brown","1,031",165,416,999,"1,539","39,594",344,73,3
2003,EMPTY,"$3,576 ",$770 ,"$1,896 ","$4,994 ","$7,880 ","$185,725 ","$1,581 ",$164 ,$17 
2003,"Rockfish, canary",713,20,0,78,337,1,0,0,0
2003,EMPTY,$327 ,$20 ,$0 ,$78 ,$341 ,$1 ,$0 ,$0 ,$0 
2003,"Rockfish, chilipepper","22,645",156,0,"5,093","4,969","5,773",0,188,0
2003,EMPTY,"$7,032 ",$141 ,$0 ,"$2,907 ","$3,411 ","$3,277 ",$0 ,$478 ,$0 
2003,"Rockfish, copper","3,028",137,141,125,"1,081","1,073",787,223,0
2003,EMPTY,"$11,780 ",$303 ,$648 ,$753 ,"$2,736 ","$3,739 ","$3,327 ",$277 ,$0 
2003,"Rockfish, cowcod",0,7,0,1,0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Rockfish, darkblotched","7,286","3,217",91,605,"1,423",529,0,0,0
2003,EMPTY,"$3,104 ","$1,477 ",$41 ,$333 ,"$1,003 ",$646 ,$0 ,$0 ,$0 
2003,"Rockfish, flag",0,0,0,0,52,0,2,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$59 ,$0 ,$0 ,$0 ,$0 
2003,"Rockfish, gopher",66,"3,572",355,716,"3,462","20,606",753,8,0
2003,EMPTY,$284 ,"$22,757 ","$1,724 ","$3,967 ","$18,160 ","$104,376 ","$3,325 ",$0 ,$0 
2003,"Rockfish, grass",151,"1,114",650,"1,091","1,545","17,528","7,706",0,0
2003,EMPTY,"$1,047 ","$7,817 ","$3,444 ","$6,109 ","$9,910 ","$148,240 ","$76,591 ",$0 ,$0 
2003,"Rockfish, greenblotched",0,0,0,0,24,0,0,3,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$12 ,$0 ,$0 ,$9 ,$0 
2003,"Rockfish, greenspotted",0,0,0,1,669,0,0,33,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$497 ,$0 ,$0 ,$90 ,$0 
2003,"Rockfish, greenstriped",135,0,0,659,32,0,0,0,0
2003,EMPTY,$43 ,$0 ,$0 ,"$1,079 ",$16 ,$0 ,$0 ,$0 ,$0 
2003,"Rockfish, group black/blue",0,0,0,0,93,0,0,0,38
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$93 ,$0 ,$0 ,$0 ,$76 
2003,"Rockfish, group bolina",0,0,"1,897","2,150",468,273,108,0,0
2003,EMPTY,$0 ,$0 ,"$8,021 ","$9,152 ","$2,310 ","$1,235 ",$595 ,$0 ,$0 
2003,"Rockfish, group deepwater reds",0,0,0,0,0,0,0,52,4
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$117 ,$9 
2003,"Rockfish, group gopher",13,151,"1,612",370,"1,415",4,76,0,0
2003,EMPTY,$59 ,$779 ,"$7,718 ","$2,020 ","$7,149 ",$4 ,$322 ,$0 ,$0 
2003,"Rockfish, group nearshore",80,0,0,23,261,21,22,0,13
2003,EMPTY,$36 ,$0 ,$0 ,$31 ,$388 ,$28 ,$67 ,$0 ,$65 
2003,"Rockfish, group red",0,228,"1,918","27,269","2,985",887,778,921,20
2003,EMPTY,$0 ,$370 ,$934 ,"$12,897 ","$3,858 ","$1,935 ","$1,783 ","$1,786 ",$50 
2003,"Rockfish, group rosefish",195,"30,484","10,893","69,963","188,119","73,422",138,132,0
2003,EMPTY,$62 ,"$9,924 ","$3,614 ","$21,696 ","$50,072 ","$20,721 ",$186 ,$335 ,$0 
2003,"Rockfish, group shelf",725,20,0,54,19,199,0,0,612
2003,EMPTY,$384 ,$12 ,$0 ,$0 ,$14 ,$169 ,$0 ,$0 ,"$1,355 "
2003,"Rockfish, group slope","43,673","19,943","1,838","10,427","33,149","10,780",0,159,"3,215"
2003,EMPTY,"$20,301 ","$12,400 ","$1,064 ","$4,997 ","$23,197 ","$6,357 ",$0 ,$327 ,"$3,752 "
2003,"Rockfish, group small",0,0,28,"3,975",121,0,0,0,0
2003,EMPTY,$0 ,$0 ,$52 ,"$2,710 ",$57 ,$0 ,$0 ,$0 ,$0 
2003,"Rockfish, kelp",0,0,0,21,"1,583",435,441,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$89 ,"$6,817 ","$1,992 ","$2,139 ",$0 ,$0 
2003,"Rockfish, olive",0,13,0,47,"1,372",103,47,0,1
2003,EMPTY,$0 ,$19 ,$0 ,$180 ,"$1,560 ",$141 ,$173 ,$0 ,$2 
2003,"Rockfish, pink",0,0,0,0,6,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$45 ,$0 ,$0 ,$0 ,$0 
2003,"Rockfish, quillback","3,977",26,6,237,0,0,5,0,0
2003,EMPTY,"$18,850 ",$101 ,$24 ,"$1,455 ",$0 ,$0 ,$20 ,$0 ,$0 
2003,"Rockfish, redbanded",103,2,0,282,0,10,0,0,5
2003,EMPTY,$107 ,$0 ,$0 ,$398 ,$0 ,$10 ,$0 ,$0 ,$5 
2003,"Rockfish, rosethorn",0,0,11,0,0,0,0,70,0
2003,EMPTY,$0 ,$0 ,$11 ,$0 ,$0 ,$0 ,$0 ,$167 ,$0 
2003,"Rockfish, rosy",536,0,0,0,0,0,0,0,0
2003,EMPTY,$322 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Rockfish, shortbelly",0,0,0,623,500,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$778 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Rockfish, speckled",0,0,0,0,0,0,0,64,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$179 ,$0 
2003,"Rockfish, splitnose",0,"7,542","1,580","34,530",156,"5,047",67,913,12
2003,EMPTY,$0 ,"$2,426 ",$711 ,"$9,403 ",$186 ,"$1,584 ",$80 ,"$2,035 ",$0 
2003,"Rockfish, squarespot",0,0,0,0,0,0,0,424,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$907 ,$0 
2003,"Rockfish, starry",0,0,0,0,40,0,6,0,2
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$43 ,$0 ,$17 ,$0 ,$7 
2003,"Rockfish, swordspine",0,0,0,0,0,0,0,0,10
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$20 
2003,"Rockfish, treefish",0,0,5,0,55,"1,281",346,0,18
2003,EMPTY,$0 ,$0 ,$5 ,$0 ,$388 ,"$7,493 ","$1,036 ",$0 ,$68 
2003,"Rockfish, unspecified",172,176,216,"17,600",381,354,"2,334",179,272
2003,EMPTY,$194 ,$156 ,$232 ,"$8,768 ",$333 ,$478 ,"$2,495 ",$381 ,$505 
2003,"Rockfish, vermilion","2,803","1,679","1,082","1,364","2,522","3,472",324,286,10
2003,EMPTY,"$5,894 ","$3,548 ","$1,239 ","$5,442 ","$5,589 ","$8,857 ",$496 ,$572 ,$0 
2003,"Rockfish, widow","1,207",0,0,"7,602",338,0,130,0,909
2003,EMPTY,$473 ,$0 ,$0 ,"$4,630 ",$249 ,$0 ,$117 ,$0 ,$455 
2003,"Rockfish, yelloweye",7,0,2,0,13,0,0,0,0
2003,EMPTY,$3 ,$0 ,$3 ,$0 ,$14 ,$0 ,$0 ,$0 ,$0 
2003,"Rockfish, yellowtail","2,306","1,688",153,584,253,1,0,0,0
2003,EMPTY,"$1,323 ","$1,256 ",$568 ,"$1,250 ",$198 ,$2 ,$0 ,$0 ,$0 
2003,Sablefish,"1,193,989","854,313","56,567","319,000","673,999","188,263","49,420","133,766","105,316"
2003,EMPTY,"$1,691,106 ","$1,114,195 ","$71,956 ","$379,482 ","$790,973 ","$192,534 ","$70,452 ","$220,438 ","$188,096 "
2003,"Salmon, Chinook","190,255","3,418,190","1,483,985","793,058","475,610","23,681",900,275,0
2003,EMPTY,"$401,012 ","$6,503,023 ","$2,749,237 ","$1,507,847 ","$842,956 ","$68,767 ","$2,223 ",$825 ,$0 
2003,"Salmon, Roe (Chinook and Coho",0,0,53,132,0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$64 ,$91 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,Salmon,0,0,0,0,90,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$225 ,$0 ,$0 ,$0 ,$0 
2003,"Sanddab, Pacific",0,0,0,0,0,0,0,27,160
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$81 ,$8 
2003,Sanddab,"291,578",0,971,"412,652","640,612",0,556,"3,728",0
2003,EMPTY,"$96,221 ",$0 ,$321 ,"$206,391 ","$193,431 ",$0 ,$586 ,"$11,987 ",$0 
2003,"Sardine, Pacific","29,716",0,0,250,"17,432,494",0,"5,221,404","53,706,980","61,930"
2003,EMPTY,"$5,943 ",$0 ,$0 ,$500 ,"$667,100 ",$0 ,"$217,450 ","$1,958,176 ","$21,635 "
2003,Sargo,0,0,0,0,0,0,0,"1,269",0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,925 ",$0 
2003,"Scorpionfish, California",0,0,0,0,0,0,241,"10,978",364
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$643 ,"$30,585 ",$893 
2003,"Sculpin, staghorn",0,0,0,"3,765",4,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,"$10,644 ",$12 ,$0 ,$0 ,$0 ,$0 
2003,"Seabass, white",0,0,0,"3,709","7,685","10,139","171,496","207,530","46,438"
2003,EMPTY,$0 ,$0 ,$0 ,"$8,026 ","$15,516 ","$23,934 ","$296,125 ","$340,787 ","$86,876 "
2003,Senorita,0,0,0,0,0,0,0,35,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$70 ,$0 
2003,"Shad, threadfin",0,0,0,170,0,0,3,4,0
2003,EMPTY,$0 ,$0 ,$0 ,$17 ,$0 ,$0 ,$3 ,$2 ,$0 
2003,"Shark, Pacific angel",0,0,0,0,18,411,"18,319",277,45
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$18 ,$206 ,"$19,728 ",$173 ,$46 
2003,"Shark, bigeye thresher",0,0,0,0,0,196,631,"1,395","5,184"
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$316 ,"$1,128 ","$2,240 "
2003,"Shark, blue",0,0,0,0,0,0,110,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$11 ,$0 ,$0 
2003,"Shark, brown smoothhound",0,0,0,189,56,0,"2,497",135,0
2003,EMPTY,$0 ,$0 ,$0 ,$63 ,$56 ,$0 ,"$1,788 ",$84 ,$0 
2003,"Shark, gray smoothhound",0,0,0,7,0,0,0,255,0
2003,EMPTY,$0 ,$0 ,$0 ,$14 ,$0 ,$0 ,$0 ,$510 ,$0 
2003,"Shark, leopard","1,919",0,0,"6,690",222,167,"3,914","3,642",584
2003,EMPTY,"$1,315 ",$0 ,$0 ,"$5,678 ",$118 ,$158 ,"$3,676 ","$4,035 ",$713 
2003,"Shark, pelagic thresher",0,0,0,0,0,0,0,"2,522","2,961"
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,798 ","$1,016 "
2003,"Shark, sevengill",0,0,0,0,0,300,58,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$315 ,$29 ,$0 ,$0 
2003,"Shark, shortfin mako",109,0,0,923,"2,082","1,727","13,601","27,571","60,045"
2003,EMPTY,$136 ,$0 ,$0 ,$923 ,"$2,250 ","$2,011 ","$15,430 ","$24,856 ","$69,767 "
2003,"Shark, sixgill",0,0,0,0,0,0,83,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$37 ,$0 ,$0 
2003,"Shark, smooth hammerhead",0,0,0,0,0,0,170,137,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$102 ,$90 ,$0 
2003,"Shark, soupfin",71,0,48,"2,896",250,"2,172","9,863","12,404","15,801"
2003,EMPTY,$18 ,$0 ,$48 ,"$1,865 ",$264 ,"$1,398 ","$7,983 ","$9,322 ","$19,171 "
2003,"Shark, spiny dogfish",0,66,0,7,"2,582","1,749",21,"19,323",0
2003,EMPTY,$0 ,$33 ,$0 ,$14 ,$658 ,$875 ,$0 ,"$9,662 ",$0 
2003,"Shark, swell",0,0,0,0,0,0,401,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Shark, thresher","35,456",0,0,65,"5,215","9,527","73,792","122,062","143,730"
2003,EMPTY,"$43,076 ",$0 ,$0 ,$65 ,"$6,865 ","$13,035 ","$95,652 ","$142,469 ","$184,415 "
2003,"Shark, unspecified",0,2,154,"4,778",420,0,348,60,107
2003,EMPTY,$0 ,$2 ,$87 ,"$3,389 ",$299 ,$0 ,$269 ,$51 ,$375 
2003,"Sheephead, California",0,0,0,5,204,463,"48,673","30,310","28,305"
2003,EMPTY,$0 ,$0 ,$0 ,$10 ,$737 ,"$1,308 ","$166,103 ","$115,326 ","$104,423 "
2003,"Skate, big",0,0,0,90,0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$32 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Skate, unspecified","215,095","3,924","1,890","22,213","12,369","7,660",178,"12,050",0
2003,EMPTY,"$43,502 ",$879 ,$351 ,"$8,266 ","$2,217 ","$2,075 ",$77 ,"$4,691 ",$0 
2003,"Smelt, night","221,075","4,146",0,55,0,0,0,0,0
2003,EMPTY,"$62,625 ","$1,647 ",$0 ,$55 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Smelt, surf","169,645","1,061",0,0,0,0,0,0,0
2003,EMPTY,"$49,797 ",$318 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Smelts, true",0,0,0,0,0,0,5,0,17
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$30 
2003,"Sole, Dover","2,894,569","1,737,999","171,638","604,200","1,000,780","775,472",238,596,0
2003,EMPTY,"$1,081,442 ","$641,876 ","$62,677 ","$219,915 ","$322,641 ","$268,549 ",$359 ,"$1,714 ",$0 
2003,"Sole, English","149,871","5,184","27,013","78,908","21,607","6,278",993,0,0
2003,EMPTY,"$54,288 ","$1,848 ","$8,592 ","$31,288 ","$10,875 ","$2,529 ","$1,958 ",$0 ,$0 
2003,"Sole, fantail",0,0,0,0,0,23,27,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$20 ,$2 ,$0 ,$0 
2003,"Sole, petrale","353,377","63,380","58,027","197,810","53,386","110,958","1,455",5,6
2003,EMPTY,"$289,228 ","$55,015 ","$56,319 ","$227,714 ","$47,622 ","$121,062 ","$1,019 ",$1 ,$8 
2003,"Sole, rex","295,933","94,779","26,132","41,214","37,577","75,011",132,10,0
2003,EMPTY,"$133,109 ","$42,759 ","$11,693 ","$18,446 ","$16,025 ","$32,520 ",$58 ,$7 ,$0 
2003,"Sole, rock",0,0,49,"31,102","1,198",61,0,0,0
2003,EMPTY,$0 ,$0 ,$20 ,"$15,520 ",$749 ,$61 ,$0 ,$0 ,$0 
2003,"Sole, sand","22,145",5,339,"52,512","5,231",426,0,0,0
2003,EMPTY,"$18,408 ",$5 ,$270 ,"$44,806 ","$4,618 ",$396 ,$0 ,$0 ,$0 
2003,"Sole, unspecified",0,0,0,977,201,138,"6,613","13,032",10
2003,EMPTY,$0 ,$0 ,$0 ,$445 ,$204 ,$189 ,"$3,815 ","$12,898 ",$14 
2003,"Stickleback, threespine",0,0,0,7,0,0,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,Stingray,0,0,0,0,0,0,15,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$11 ,$0 ,$0 
2003,"Sunfish, ocean",0,0,0,0,0,0,0,38,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2003,"Surfperch, barred",403,0,0,209,428,"15,500","1,383",44,0
2003,EMPTY,$504 ,$0 ,$0 ,$827 ,$890 ,"$28,347 ","$2,201 ",$110 ,$0 
2003,"Surfperch, black",0,0,0,0,0,2,1,49,30
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$4 ,$110 ,$15 
2003,"Surfperch, calico",0,0,0,0,0,150,0,0,0
2003,EMPTY,$0 ,$0 ,$0 ,$0 ,$0 ,$188 ,$0 ,$0 ,$0 
